freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP012,PM,EA17	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP012,PM,EA18	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP012,PM,EE	: 	: 	: 	16 	16 	14 	13 
A,DEG1,CP012,PM,EEA28	: 	: 	: 	12 e	12 i	: 	: 
A,DEG1,CP012,PM,EEA30_2007	: 	: 	: 	: 	12 i	: 	: 
A,DEG1,CP012,PM,EFTA	: 	: 	: 	11 u	11 u	: 	: 
A,DEG1,CP012,PM,EL	7 	: 	: 	8 	9 	9 	10 
A,DEG1,CP012,PM,ES	: 	12 	9 	9 	10 	11 	11 
A,DEG1,CP012,PM,EU15	: 	: 	: 	10 u	11 i	: 	: 
A,DEG1,CP012,PM,EU25	: 	: 	: 	12 e	12 i	: 	: 
A,DEG1,CP012,PM,EU27_2007	: 	: 	: 	12 u	12 i	: 	: 
A,DEG1,CP012,PM,FI	: 	12 	12 	9 	11 	8 	12 
A,DEG1,CP012,PM,FR	11 	: 	10 	10 	11 	11 	11 e
A,DEG1,CP012,PM,HR	: 	: 	: 	19 	18 	16 	14 
A,DEG1,CP012,PM,HU	: 	: 	: 	19 	14 	16 	14 
A,DEG1,CP012,PM,IE	: 	: 	15 	: 	10 	8 	10 
A,DEG1,CP012,PM,IT	17 	17 	15 	: 	13 	12 	14 
A,DEG1,CP012,PM,LT	: 	: 	: 	20 	17 	14 	14 
A,DEG1,CP012,PM,LU	11 	: 	10 	11 	10 	9 	8 
A,DEG1,CP012,PM,LV	: 	: 	: 	17 	17 	16 	13 
A,DEG1,CP012,PM,MT	: 	: 	: 	: 	26 	19 	19 e
A,DEG1,CP012,PM,NL	: 	: 	: 	: 	10 	11 	10 
A,DEG1,CP012,PM,NO	: 	: 	: 	11 	11 	12 	12 
A,DEG1,CP012,PM,PL	: 	: 	: 	19 	19 	18 	20 
A,DEG1,CP012,PM,PT	7 	7 	7 	7 	8 	9 	: 
A,DEG1,CP012,PM,RO	: 	: 	: 	: 	: 	18 	: 
A,DEG1,CP012,PM,SE	: 	0 	: 	8 	8 	9 	: 
A,DEG1,CP012,PM,SI	: 	: 	: 	13 	12 	11 	10 
A,DEG1,CP012,PM,SK	: 	: 	: 	22 	19 	16 	15 
A,DEG1,CP012,PM,UK	8 	12 	9 	8 	10 	10 	: 
A,DEG1,CP012,PM,XK	: 	: 	: 	: 	: 	41 	: 
A,DEG1,CP0121,PM,EEA28	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0121,PM,EEA30_2007	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0121,PM,EFTA	: 	: 	: 	: 	2 u	: 	: 
A,DEG1,CP0121,PM,NO	: 	: 	: 	: 	2 	: 	: 
A,DEG1,CP0122,PM,EEA28	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0122,PM,EEA30_2007	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0122,PM,EFTA	: 	: 	: 	: 	9 u	: 	: 
A,DEG1,CP0122,PM,NO	: 	: 	: 	: 	9 	: 	: 
A,DEG1,CP02,PM,AT	: 	: 	27 	30 	27 	25 	25 
A,DEG1,CP02,PM,BE	22 	19 	25 	24 	21 	21 	21 
A,DEG1,CP02,PM,BG	: 	: 	: 	34 	37 	42 	35 
A,DEG1,CP02,PM,CY	: 	: 	: 	18 	12 	15 	15 e
A,DEG1,CP02,PM,CZ	: 	: 	: 	29 	29 	30 	30 
A,DEG1,CP02,PM,DE	49 	26 	: 	18 	17 	17 	16 
A,DEG1,CP02,PM,DK	: 	48 	44 	36 	28 	23 	21 
A,DEG1,CP02,PM,EA	: 	: 	: 	21 u	20 i	: 	: 
A,DEG1,CP02,PM,EA12	: 	: 	: 	21 u	20 i	: 	: 
A,DEG1,CP02,PM,EA13	: 	: 	: 	21 u	20 i	: 	: 
A,DEG1,CP02,PM,EA17	: 	: 	: 	: 	20 i	: 	: 
A,DEG1,CP02,PM,EA18	: 	: 	: 	: 	20 i	: 	: 
A,DEG1,CP02,PM,EA20	: 	: 	: 	: 	: 	: 	20 
A,DEG1,CP02,PM,EE	: 	: 	: 	24 	27 	27 	25 
A,DEG1,CP02,PM,EEA28	: 	: 	: 	22 e	22 i	: 	: 
A,DEG1,CP02,PM,EEA30_2007	: 	: 	: 	: 	22 i	: 	: 
A,DEG1,CP02,PM,EFTA	: 	: 	: 	31 u	26 u	: 	: 
A,DEG1,CP02,PM,EL	26 	: 	: 	32 	29 	34 	31 
A,DEG1,CP02,PM,ES	: 	23 	26 	21 	20 	18 	17 
A,DEG1,CP02,PM,EU15	: 	: 	: 	21 u	22 i	: 	: 
A,DEG1,CP02,PM,EU25	: 	: 	: 	22 e	22 i	: 	: 
A,DEG1,CP02,PM,EU27_2007	: 	: 	: 	22 u	22 i	: 	: 
A,DEG1,CP02,PM,EU27_2020	: 	: 	: 	: 	: 	23 	23 e
A,DEG1,CP02,PM,FI	: 	33 	30 	25 	23 	22 	19 
A,DEG1,CP02,PM,FR	25 	: 	26 	24 	25 	24 	24 e
